cheese	milk	origin	region	family	kind	fat	calcium	rind	texture	color	flavor	aroma	producer	synonyms	alternative_spellings	vegetarian	description
Traditional Haloumi	cow's or sheep's milk	New Zealand			"semi-soft, whey"			rindless	"elastic, firm and supple"	white	"milky, salty, tangy"	"mild, milky"	The Collective			yes	"Traditional Haloumi is a vegetarian, gluten-free cow's milk cheese that has a high melting point and can hold its shape during & after cooking. The cheese melts slightly, but largely retains its shape when grilled or pan-fried. It has a mildly salty, mellow-yet-slightly tangy flavor and a distinctive elastic, supple texture."
Trappe de la Coudre	cow's milk	France	"Laval, Mayenne"	Tomme	"soft, artisan"			natural	dry and smooth	ivory	"fruity, salty, sweet"		Abbaye de la Coudre		Trappe (Veritable)		"Le Trappe de la Coudre is a soft French monastic cheese handmade in Abbaye de la Coudre, Laval, France. The production of the cheese dates back to 1868 from the original recipe transferred to the sisters by the monks of the Abbaye du Port-du-Hi. The cheese is made entirely on-site with cow's milk sourced from local farmers. It is a dry, light yellow (ivory) cheese with a sweet, slightly salty taste and a good taste of warm milk. The maturation period is about one month. The cheese is available in 2 versions: in individual 300 g cuts or 2 kg Tomme."
Trappiste d'Igny	unpasteurized cow's milk	France	Champagne		"semi-soft, artisan"	40-46%		washed	supple	pale yellow	sweet			"Fromage de l'Abbaye d'Igny, Abbaye d'Igny, Igny"		no	"Trappiste d'Igny is a Saint-Paulin type of cheese that used to be made at the Abbaye d'Igny in Champagne province of France. The nuns at the Abbaye have turned to making chocolates called Bouchons de Champagne, sparkling white wines and biscuits since cheesemaking is much more work. Trappiste d'Igny was a pressed, uncooked cheese made from unpasteurised cow's milk. It had a washed rind and was usually refined in wet cellars for at least two months. Also known as Igny or Abbaye d'Igny, this cheese was eaten in summer, autumn or at the end of spring."
Trappiste de Bricquebec	pasteurized cow's milk	France	"Manche , Basse-Normandie"		"semi-hard, artisan"	28%		natural	"dense, firm, smooth and supple"	yellow	"mild, nutty, spicy"			La Trappe Bricquebec		no	"La Trappe Bricquebec is a semi-soft French monastic cheese invented in 1824 by Dom Augustin Onfroy in a small village of Cotentin. The Trappist monks of the Abbey of Bricquebec continued with the tradition of producing high-quality cheeses until WWII. But in the post-war period, the farmers faced stiff competition from other monastic societies who were producing cheeses. In 1961, the abbey sold the brand ""La Providence” to the Valco society in Valognes. Trappiste de Bricquebec is a pasteurised cow's milk cheese with a smooth, glossy rind of a greyish-yellow color. It gives off a strong smell of the cellars where it is matured at least for 6 weeks and shaped into a flat disc. The texture of the cheese is supple, smooth and dense with a nutty, mild flavor with a spicy finish. It has a fat content of around 28%. The buttery taste of the cheese goes well with bread, fruits and nuts. It tastes delicious with Muscadet, St. Emilion or any light red or dry light white wine."
Tregonwell	unpasteurized cow's milk	"England, Great Britain and United Kingdom"	Dorset	Cheddar	"hard, artisan"			natural	"creamy, crumbly and firm"	yellow	"creamy, subtle"		Chalke Valley Cheese Ltd			no	"Tregonwell is a Caerphilly-style cheese made using unpasteurized cow's milk and animal rennet. It is matured in the same way like Old Harry enveloped in a natural rind, but it is much crumblier and creamier, with a more subtle taste. Tregonwell has always been a respected cheese on a cheese board, but it also tastes delicious when substituted for a Mozzarella on a pizza."
Trelawny	pasteurized cow's milk	England	North Cornwall	Cornish	"semi-soft, artisan"			washed	crumbly	ivory	"citrusy, creamy, lemony"	nutty	Whalesborough Farm Foods			yes	Trelawny is a traditional farmhouse cheese and is the first of Sue Proudfoot's creations. It is made with pasteurized cow's milk and vegetable rennet. This Cornish cheese is mould ripened with a citrus flavor and a creamy texture. Trelawny has won several accolades over the years including a gold at British Cheese Awards 2011 and two-star gold at Great Taste Awards 2013/2014.
Triple Creme Brie	pasteurized cow's milk	United States	New York	Brie	"soft, soft-ripened"			bloomy	buttery and creamy	white	"buttery, creamy"	rich	President Cheese				"President Triple Cream Brie is a classic soft-ripened cheese with a snow-white edible rind. It has all the subtle yet characteristic flavors of regular Brie but with a buttery core that gets even smoother with the addition of extra cream. Président Triple Cream Brie’s rich, buttery and extra creamy flavors make it perfect alone. But it can also be enjoyed on crackers, sandwiches or as a delicious dip."
Tronchon	"pasteurized cow's, goat's and sheep's milk"	Spain	Murcia		semi-soft			natural	creamy and open	cream	buttery	"buttery, mild"				no	"Tronchon is a traditional, semi-soft cheese made from a mixture of pasteurized milk of cow, goat and sheep. It has a shape of a flattened globe with a deep crater. After ageing for three months, the cheese forms a natural rind that is smooth, glossy and creamy.  Tronchon resembles young Caerphilly. The taste is aromatic, with a smooth pleasant texture."
Trou du Cru	pasteurized cow's milk	France	" 	Bourgogne"		"semi-hard, soft-ripened"	50%		washed	firm	orange	mild	pungent	Fromagerie Berthaut			no	"Trou du cru is a cheese from the Cote d'Or. For a period of three weeks, during its maturation, it is wiped with Marc de Bourgogne, a strong alcohol. By this method, one experiences an aroma of alcohol, scented with straw. Its strong savour with a floral aftertaste will delight lovers of strong tasting cheeses."
Truffle Cheese	"cow's, goat's or sheep's milk"	"Kind: semi-soft, artisan"									"full-flavored, nutty"	aromatic					"Truffle cheeses are highly exotic, aromatic cheeses that have been flavored with fresh truffles, a highly valued fungus with an earthy, intricate flavor and aroma. Most truffle cheeses have shavings of truffles in them, but sometimes they can be flavored with truffle oil. Italy and France are popular for their variety of truffle cheeses. Here is a look at some of the truffle cheeses:  Truffle Tremor – Made by Cypress Grove, California, is a goat’s milk cheese with fragments of truffle right through the soft, creamy cheese.   Sottocenere – A semi-soft Italian cheese with flavors of liquorice, nutmeg, coriander, cloves, cinnamon and fennel coated onto the rind. Moliterno Black Truffle Pecorino – A raw sheep’s milk Sardinian cheese covered with black truffle paste. It tastes nutty, earthy and salty, similar to a pecorino. The distinctive layers of truffles can be seen throughout the cheese. Boschetto al Tartufo - A semi-soft Italian cheese made with a blend of cow and sheep’s milk. Mild cheese is dictated by the flavors of white truffles.   Truffle and Salt Cheddar – From the Ballard Family Dairy and Cheese in Idaho, this is an aged, pasteurised cheddar flavored with black truffle salt. Truffle Gouda – Dutch Gouda sprinkled with black truffle. It tastes less sharp and sweet than other types of Gouda.  These cheeses taste delicious with condiments, for example, Truffle and Porto Sauce, Black Truffle Mustard, Black Truffle Sherry Vinegar and many others."
Truffle Tremor	pasteurized goat's milk	United States	California	Brie	"semi-soft, soft-ripened"			mold ripened	"creamy, dense and smooth"	white	"acidic, creamy, earthy, tangy"	"earthy, lactic, milky"	Cypress Grove Chevre			yes	"Truffle Tremor is a soft-ripened goat's cheese produced by Cypress Grove Chevre, of Arcata, California, in Humboldt County. As the name suggests, it combines the earthiness of the Italian black summer truffles with tangy, lactic flavors of goat cheese. This elegant cheese has a dense, champagne-white interior mottled with small, delicate pieces of black truffle. As the cheese ripens, the paste becomes softer just under the rind, ensuring more herbaceous flavor. Serve the cheese with Barleywine, Trippel or wines such as Riesling, Zinfandel or Cabernet Sauvignon. The cheese won Super Gold award at World Cheese Awards 2014, Gold at California State Fair Cheese Competition, 2009, 2010 and First Place at World Championship Cheese Contest 2014."
Trufflestack	pasteurized cow's milk	United States	Port Townsend		"soft, soft-ripened"			mold ripened	"creamy, dense, firm, runny and soft"	white	"citrusy, earthy, mushroomy, salty, tangy"	"fresh, rich"	Mt. Townsend Creamery			no	"Similar to the Seastack, Trufflestack is a mould-ripened, soft-ripened pasteurized cow's milk cheese infused with black truffles. Made by Mt Townsend Creamery at Port Townsend, Washington, this limited edition cheese is soft and dense, becoming runnier as it ages. Flavors are lighter and tangy with a firmer texture when young. As the cheese ripens, flavors become stronger balanced by a soft, creamy texture. There are rich hints of truffle, salt, earth, mushrooms and citrus."
Tuada	pasteurized sheep's milk	Italy	Tuscany		"firm, artisan"			ash coated	firm	straw	"earthy, sweet"	"earthy, lactic, sweet"	Rogers Collection	Pecorino Tuada			"Tuada, an Italian cheese made in Tuscany region is made from pasteurized sheep's milk. The cheese is made in the cellars with a coating of ash and olive oil and aged from 8 to 9 months. This is exceptionally a sweet cheese with an earthy flavor and a firm texture."
Tunworth	pasteurized cow's milk	"England, Great Britain and United Kingdom"	"Basingstoke, Hampshire"	Camembert	"soft, artisan, soft-ripened"			bloomy	"creamy, soft and soft-ripened"	cream	"creamy, milky, vegetal"	"milky, nutty, rich, sweet"				no	"Tunworth is a traditional Camembert-style handmade cheese made using pasteurized cow's milk and animal rennet. It has a creamy texture and a thin, wrinkled rind with vegetal, truffley, garlicky flavors. The overall flavor effect is long-lasting, mouth-filling and harmonious."
Tupí	"pasteurized cow's, goat's and sheep's milk"	Andorra and Spain	Catalonia		"soft, artisan"	50%		rindless	creamy	white	spicy	pungent		fromage de Tupi			"Tupi cheese is also known as ""Fromage de Tupi"" (cheese in a pot), is a traditional cheese found in Pyrenees Mountains of Catalonia. A fermented cheese aged in a clay pot (""Tupina"") for almost 4 months. It is made with sheep, goat and/or cow's milk and liqueur or olive oil. This cheese is hard in texture with garlic as a seasoning. With a very spicy and tangy flavor, it's taste is very similar to Italian cheeses like Parmigianino etc. As it has a very pungent flavor. Tupí is mixed with tomato sauce, butter or honey to soften its flavor. It is generally served with bread and cold cava wine. The main highlight of Tupí cheese is that, compared to other cheeses, it doesn’t need to be refrigerated. The cheese is served in clay vessels in which it is individually aged."
